"school","sex","age","studytime","absences","G1","G2","final_grade"
"GP","male",16,1,14,7,7,5
"GP","male",16,3,0,16,17,17
"GP","male",15,1,4,10,13,14
"GP","female",15,2,26,7,6,6
"GP","male",15,2,0,16,18,18
"GP","female",15,4,10,10,11,11
"GP","female",15,4,8,7,8,8
"GP","male",16,3,2,16,18,18
"GP","male",15,4,6,10,13,13
"GP","female",16,3,4,14,15,16
"GP","male",15,1,6,18,19,19
"GP","female",16,3,0,7,10,10
"GP","female",16,2,6,10,13,13
"GP","male",15,1,10,18,19,19
"GP","male",15,2,8,9,9,9
"GP","male",16,2,2,15,15,16
"GP","male",15,2,2,11,13,14
"GP","male",16,1,0,13,14,13
"GP","male",17,2,20,9,7,8
"GP","male",15,1,6,14,13,13
"GP","female",15,2,2,16,15,15
"GP","male",15,4,6,16,14,15
"GP","female",16,2,2,13,13,13
"GP","male",16,1,18,14,11,13
"GP","female",16,2,0,8,7,8
"GP","male",15,1,0,13,13,12
"GP","female",15,2,0,7,10,11
"GP","female",19,2,2,7,8,9
"GP","male",18,1,0,7,4,0
"GP","male",16,1,8,18,18,18
"GP","female",15,3,0,12,0,0
"GP","female",15,1,0,8,0,0
"GP","female",17,1,12,10,13,12
"GP","female",16,1,16,12,11,11
"GP","male",15,2,0,9,0,0
"GP","female",15,3,0,11,0,0
"GP","male",17,2,0,10,0,0
"GP","female",16,1,0,4,0,0
"GP","male",16,2,0,14,12,12
"GP","female",15,1,0,16,16,15
"GP","male",15,4,0,7,9,0
"GP","male",16,1,8,9,9,9
"GP","female",15,3,2,9,11,11
"GP","female",16,1,2,14,14,13
"GP","male",17,1,0,5,0,0
"GP","female",15,2,0,8,11,11
"GP","female",15,2,0,6,7,0
"GP","female",15,2,2,10,11,11
"GP","male",16,1,0,7,6,0
"GP","male",15,1,0,8,9,10
"GP","male",18,1,0,6,5,0
"GP","male",16,1,6,12,13,14
"GP","female",15,3,8,10,10,10
"GP","male",19,1,0,5,0,NA
"GP","female",17,1,0,11,11,12
"GP","male",15,2,2,11,8,8
"GP","male",17,1,8,16,12,13
"GP","female",18,1,6,9,8,10
"GP","male",16,1,2,17,15,15
"GP","male",16,2,4,10,12,12
"GP","male",17,1,0,7,6,0
"GP","male",15,2,6,5,9,7
"GP","male",16,1,0,7,0,0
"GP","male",17,1,2,10,10,10
"GP","male",17,2,0,5,8,7
"GP","male",16,1,16,12,11,12
"GP","male",16,2,4,10,10,10
"GP","female",16,2,0,14,15,16
"GP","female",16,2,0,6,7,0
"GP","female",16,2,0,14,14,14
"GP","male",16,1,0,6,5,0
"GP","male",16,2,2,13,15,16
"GP","male",17,2,0,13,11,10
"GP","female",16,2,0,8,7,0
"GP","female",16,2,4,10,11,9
"GP","male",17,2,4,10,9,9
"GP","female",16,2,2,13,13,11
"GP","male",17,2,4,6,5,6
"GP","male",16,1,10,10,8,9
"GP","male",17,2,4,10,10,11
"GP","male",16,2,10,9,8,8
"GP","male",16,2,2,12,13,12
"GP","female",17,2,0,16,17,17
"GP","female",17,2,56,9,9,8
"GP","female",16,2,14,12,13,12
"GP","male",17,2,12,12,12,11
"GP","male",16,1,2,11,12,11
"GP","male",16,2,0,15,15,15
"GP","female",17,2,6,8,7,9
"GP","male",17,2,4,8,9,10
"GP","female",16,2,10,11,12,13
"GP","female",17,2,0,8,8,9
"GP","male",17,2,12,7,8,8
"GP","male",16,1,8,8,9,10
"GP","male",16,1,0,13,14,14
"GP","female",17,2,0,14,15,15
"GP","male",17,1,4,17,15,16
"GP","male",16,1,8,9,9,10
"GP","female",17,1,24,18,18,99
"GP","female",16,2,0,9,9,10
"GP","female",16,2,2,16,16,16
"GP","female",16,2,6,8,10,10
"GP","female",17,2,4,9,9,10
"GP","female",17,1,18,7,6,6
"GP","female",16,4,6,10,10,11
"GP","female",17,3,28,10,9,9
"GP","female",16,2,5,7,7,7
"GP","female",16,2,10,11,12,13
"GP","female",16,1,6,9,9,10
"GP","female",17,3,6,7,7,7
"GP","female",19,4,10,8,8,8
"GP","male",17,2,13,12,12,13
"GP","female",16,2,0,12,13,14
"GP","male",18,2,15,6,7,8
"GP","female",17,1,12,8,10,10
"GP","female",17,2,2,14,15,15
"GP","female",17,2,22,6,6,4
"GP","male",18,2,13,6,6,8
"GP","female",17,1,3,7,7,8
"GP","female",17,3,4,9,10,10
"GP","female",17,2,2,6,6,6
"GP","female",17,3,0,6,5,0
"GP","female",16,2,2,16,16,17
"GP","male",18,2,0,NA,13,13
"GP","female",16,3,0,13,13,14
"GP","female",18,2,16,9,8,7
"GP","female",17,2,10,16,15,15
"GP","male",17,2,2,12,11,12
"GP","male",18,2,14,10,8,9
"GP","female",17,3,10,12,10,12
"GP","female",17,2,14,13,13,14
"GP","male",17,2,4,11,11,11
"GP","male",17,2,14,11,9,9
"GP","male",16,2,2,14,13,13
"GP","male",16,2,18,9,7,99
"GP","male",16,3,10,11,9,10
"GP","male",17,2,4,14,13,NA
"GP","female",16,1,20,13,12,12
"GP","female",17,2,2,13,11,11
"GP","male",18,2,0,7,7,0
"GP","male",17,2,14,12,12,12
"GP","male",17,2,2,10,11,12
"GP","male",16,1,0,6,0,0
"GP","male",16,1,0,13,12,12
"GP","female",18,3,0,7,0,0
"GP","male",16,1,6,18,18,18
"GP","male",17,1,4,12,12,13
"GP","male",22,1,16,6,8,8
"GP","male",18,2,8,3,5,5
"GP","male",16,1,0,13,15,15
"GP","male",18,1,0,6,8,8
"GP","male",16,2,6,7,10,10
"GP","male",18,1,4,6,9,8
"GP","male",16,1,0,8,9,8
"GP","male",17,1,0,8,12,12
"GP","male",17,1,2,7,9,8
"GP","female",17,4,6,14,12,13
"GP","male",19,2,12,11,11,11
"GP","male",18,2,8,15,14,14
"GP","female",17,4,0,10,9,0
"GP","female",18,2,21,17,18,18
"GP","male",18,2,2,8,8,8
"GP","male",18,3,1,13,12,12
"GP","female",17,3,4,10,9,9
"GP","female",18,3,0,9,10,0
"GP","male",18,2,13,17,17,17
"GP","male",17,2,2,9,9,10
"GP","female",18,2,8,12,10,11
"GP","male",18,2,10,10,9,10
"GP","female",18,2,0,6,0,0
"GP","female",19,2,15,9,9,99
"GP","female",18,4,4,15,14,14
"GP","female",18,2,2,11,11,11
"GP","male",17,2,2,15,14,14
"GP","female",17,2,2,10,10,10
"GP","female",17,2,6,12,12,12
"GP","female",18,2,75,10,9,9
"GP","male",18,1,22,9,9,9
"GP","female",18,2,15,9,8,8
"GP","male",18,1,8,10,11,10
"GP","male",17,1,30,8,8,8
"GP","male",17,1,19,11,9,10
"GP","female",18,4,1,12,12,12
"GP","female",18,2,4,8,9,10
"GP","female",17,2,4,10,9,11
"GP","male",17,2,2,12,10,11
"GP","female",18,3,5,18,18,19
"GP","female",17,3,6,13,12,12
"GP","male",18,3,6,15,14,14
"GP","male",18,2,9,15,13,15
"GP","male",18,2,11,12,11,11
"GP","female",17,3,0,15,15,15
"GP","female",18,2,12,12,12,13
"GP","female",17,4,6,18,18,18
"GP","male",18,3,8,14,13,14
"GP","male",17,1,4,14,12,11
"GP","female",19,2,0,10,9,0
"GP","female",18,2,10,10,8,8
"GP","female",18,4,0,14,13,14
"GP","male",18,1,5,16,15,16
"GP","female",18,2,14,12,10,11
"GP","male",17,1,0,11,11,10
"GP","female",17,3,0,15,12,14
"GP","female",17,4,0,17,17,18
"GP","male",19,2,20,15,14,13
"GP","female",18,2,8,14,12,12
"GP","male",20,1,0,17,18,18
"GP","male",19,1,38,8,9,8
"GP","male",19,2,0,15,12,12
"GP","female",19,2,18,12,10,10
"GP","female",19,2,0,9,9,0
"GP","female",19,2,20,14,12,13
"GP","male",19,2,3,13,11,99
"GP","female",19,2,22,13,10,11
"GP","female",19,3,14,15,13,13
"GP","female",19,3,40,13,11,11
"GP","female",18,2,0,8,8,0
"GP","female",18,3,9,9,10,9
NA,"female",17,3,0,11,11,10
"GP","female",18,2,2,11,11,11
"GP","female",17,2,23,13,13,13
"GP","female",17,2,12,11,9,9
"GP","female",17,3,3,11,11,11
"GP","female",17,3,1,12,14,15
"GP","female",17,3,0,16,15,15
"GP","male",18,3,3,9,12,11
"GP","male",17,1,3,14,15,16
"GP","male",17,1,8,11,10,10
"GP","female",17,3,7,10,9,9
"GP","female",17,3,4,14,14,14
"GP","male",18,4,2,9,8,8
"GP","female",17,3,7,12,14,14
"GP","female",18,2,0,7,0,0
"GP","female",18,2,0,8,8,0
"GP","female",18,4,0,10,9,0
"GP","female",17,3,16,16,15,15
"GP","female",19,3,12,14,13,13
NA,"female",17,2,0,7,8,0
"GP","female",18,4,7,16,15,17
"GP","female",17,2,4,9,10,10
"GP","female",19,3,4,11,12,11
"GP","male",18,2,0,10,10,0
"GP","male",18,2,11,16,15,15
"GP","female",17,2,0,9,8,0
"GP","female",18,3,4,11,10,10
"GP","female",18,3,7,13,13,14
"GP","male",18,3,9,16,15,16
"GP","male",18,3,0,10,10,9
"GP","female",17,3,0,13,15,15
"MS","male",18,1,10,11,13,13
"MS","male",19,2,8,8,7,8
"MS","male",17,2,2,13,13,13
"MS","male",18,1,7,8,7,8
"MS","male",19,1,4,8,8,8
"MS","male",17,2,4,13,11,11
"MS","female",18,2,0,10,9,9
"MS","female",17,2,4,12,13,13
"MS","female",17,2,2,12,12,11
"MS","male",18,1,4,10,10,10
"MS","female",18,3,0,18,16,16
"MS","female",18,2,0,13,13,13
"MS","male",18,2,2,13,12,12
"MS","female",18,2,0,11,11,10
"MS","female",17,2,0,16,15,15
"MS","female",17,2,0,12,11,12
"MS","male",18,2,4,10,10,10
"MS","male",18,3,0,13,13,13
"MS","female",17,1,0,7,6,0
"MS","female",18,1,0,11,10,10
"MS","female",18,2,10,14,12,11
"MS","female",19,2,4,7,7,9
"MS","male",18,1,3,14,12,12
"MS","female",17,3,8,13,11,11
"MS","female",17,1,14,6,5,5
"MS","female",18,3,0,19,18,19
"MS","female",18,3,2,8,8,10
"MS","female",20,3,4,15,14,15
"MS","female",18,2,4,8,9,10
"MS","female",18,2,0,15,15,15
"MS",NA,17,2,17,10,10,10
"MS","male",18,2,4,15,14,14
"MS","male",18,1,5,7,6,7
"MS","male",17,2,2,11,11,10
"MS","male",19,1,0,6,5,0
"MS","male",18,1,14,6,5,5
"MS","female",18,3,2,10,9,10
"MS","female",18,1,7,6,5,6
"MS","female",19,3,0,7,5,0
"MS","female",18,2,0,7,9,8
"MS","female",18,2,0,6,5,0
"MS","male",20,2,11,9,9,9
"MS","male",17,1,3,14,16,16
"MS","male",21,1,3,10,8,7
"MS","male",18,1,0,11,12,10
"MS","male",19,1,5,8,9,9
