"age","job","marital","education","balance","duration","campaign","subscribed"
38,"entrepreneur","married","secondary",593,1484,24,"yes"
32,"blue-collar","married","secondary",759,317,5,"yes"
70,"retired","divorced","primary",4531,445,1,"no"
65,"retired","divorced","primary",1840,383,2,"no"
56,"blue-collar","married","secondary",345,605,1,"no"
35,"blue-collar","married","secondary",1287,330,2,"no"
56,"management","married",NA,353,171,2,"no"
56,"technician","married","secondary",205,442,2,"no"
49,"entrepreneur","married","secondary",687,772,1,"yes"
38,"unemployed","married","primary",1147,249,5,"no"
35,"management","married","tertiary",4286,357,1,"no"
38,"admin.","married","tertiary",605,147,2,"no"
49,"blue-collar","married","secondary",8545,199,7,"no"
55,"management","married",NA,559,271,2,"no"
43,"blue-collar","single","primary",2,783,3,"no"
43,"management","married","tertiary",2,472,2,"no"
25,"admin.","single","tertiary",760,223,3,"yes"
30,"blue-collar","married","primary",1317,395,2,"no"
46,"blue-collar","married","secondary",182,56,1,"no"
50,"admin.","married","primary",276,641,6,"no"
35,"entrepreneur","married","secondary",2971,429,4,"yes"
26,"unemployed","single","secondary",1064,113,1,"no"
45,"admin.","married",NA,1783,11,11,"no"
37,"blue-collar","married","secondary",-67,157,1,"no"
60,"self-employed","single","tertiary",179,79,4,"no"
38,"management","married","tertiary",1199,178,1,"yes"
47,"blue-collar","married","primary",214,168,1,"no"
33,"technician","married","secondary",6699,425,1,"no"
51,"unemployed","married","secondary",1760,162,1,"no"
35,"entrepreneur","single","tertiary",145,799,2,"yes"
35,"unemployed","married","secondary",978,1370,3,"yes"
48,"admin.","single","secondary",1150,357,1,"no"
37,"admin.","married","secondary",121,22,6,"no"
29,"technician","single","tertiary",828,215,3,"no"
34,"admin.","married","secondary",244,56,4,"no"
32,"services","married","primary",228,1017,6,"yes"
30,"management","single","tertiary",424,298,4,"yes"
47,"management","divorced","tertiary",447,126,1,"no"
33,"blue-collar","married","primary",-195,9,1,"no"
33,"management","single","tertiary",1410,8,1,"no"
63,"retired","married","primary",1084,201,1,"no"
51,"self-employed","divorced","primary",10924,106,2,"no"
41,"management","married","tertiary",832,164,1,"no"
56,"retired","married","tertiary",478,97,1,"no"
60,"management","single","tertiary",0,151,1,"no"
41,"self-employed","single","tertiary",3950,96,2,"no"
37,"management","single",NA,504,555,1,"no"
36,"blue-collar","single","secondary",219,270,2,"no"
57,"management","married","tertiary",1602,339,3,"no"
55,"management","married","primary",2587,328,2,"yes"
44,"admin.","married","secondary",0,159,1,"no"
47,"self-employed","married","tertiary",2303,323,2,"no"
31,"blue-collar","married","secondary",1660,342,1,"no"
35,"management","married","tertiary",32,180,1,"no"
39,"management","married","tertiary",278,60,3,"no"
50,"management","married","tertiary",4,223,1,"no"
29,"management","married","tertiary",318,1434,2,"no"
30,"services","single","secondary",209,30,2,"no"
46,"services","married","secondary",271,134,4,"no"
27,"management","single",NA,3196,10,2,"no"
48,"admin.","divorced","secondary",4099,397,2,"yes"
26,"student","single","secondary",2572,620,1,"no"
36,"management","single","tertiary",339,6,6,"no"
42,"blue-collar","married","primary",0,209,2,"no"
50,"housemaid","married","primary",395,419,2,"no"
49,"blue-collar","married","secondary",2039,283,2,"no"
45,"management","married","tertiary",5450,188,2,"no"
23,"student","single","secondary",780,267,1,"no"
38,"technician","single","secondary",0,196,2,"no"
32,"management","single","tertiary",8436,245,1,"no"
60,"technician","single","primary",11262,323,1,"yes"
30,"entrepreneur","married","secondary",946,1065,1,"no"
58,"housemaid","married","tertiary",497,138,5,"no"
60,"retired","married","primary",55,207,1,"no"
38,"services","married","secondary",-140,456,3,"no"
51,"technician","married","secondary",-379,261,1,"no"
42,"admin.","married","secondary",-396,80,1,"no"
30,"services","single","secondary",0,131,6,"no"
40,"management","married","primary",733,94,7,"no"
37,"management","married","tertiary",393,567,3,"yes"
53,"technician","divorced","primary",7290,153,1,"no"
27,"services","single","secondary",468,109,1,"no"
39,"blue-collar","married","secondary",0,53,1,"no"
39,"blue-collar","married","primary",3705,77,1,"no"
59,"retired","married","tertiary",9676,234,2,"yes"
37,"services","married","secondary",1328,121,2,"no"
41,"blue-collar","married","primary",8,155,2,"no"
45,"blue-collar","married","primary",61,108,1,"no"
48,"management","married","tertiary",6613,159,3,"no"
48,"technician","married","secondary",302,208,3,"no"
32,"blue-collar","married","secondary",1005,215,1,"no"
35,"services","married","secondary",109,597,3,"no"
33,"management","single","tertiary",1240,505,2,"no"
28,"blue-collar","single","primary",0,380,4,"no"
64,"retired","married",NA,2923,120,1,"no"
35,"technician","married","secondary",0,106,4,"no"
33,"blue-collar","married","secondary",43,332,2,"no"
41,"technician","married","secondary",288,221,4,"no"
34,"admin.","married","secondary",613,80,1,"no"
37,"technician","single","tertiary",6101,60,5,"no"
38,"blue-collar","married","primary",168,212,3,"no"
39,"blue-collar","married","primary",7685,493,3,"no"
35,"technician","divorced","tertiary",4515,98,2,"no"
28,"blue-collar","single","secondary",517,681,1,"yes"
27,"blue-collar","single","secondary",148,203,1,"no"
48,"retired","married","primary",-285,157,1,"no"
50,"blue-collar","married","secondary",887,287,1,"no"
45,"self-employed","married","secondary",3098,159,2,"no"
41,"technician","married","tertiary",744,125,1,"no"
39,"technician","married","secondary",130,202,2,"no"
44,"management","married","secondary",438,37,3,"no"
54,"admin.","married","secondary",0,161,1,"yes"
49,"management","married","tertiary",322,72,4,"no"
34,"blue-collar","single","secondary",186,342,1,"no"
75,"retired","divorced","tertiary",3810,262,1,"yes"
42,"management","married","tertiary",0,325,2,"no"
53,"blue-collar","married","secondary",4380,223,7,"no"
49,"management","divorced","tertiary",755,1212,4,"yes"
31,"services","single","secondary",2070,319,2,"no"
45,"blue-collar","single","primary",999,182,2,"no"
39,"self-employed","married","secondary",167,330,1,"no"
46,"technician","married","secondary",1322,514,1,"no"
42,"admin.","divorced","secondary",1076,213,1,"no"
37,"management","married","tertiary",502,551,1,"no"
26,"technician","single","tertiary",1216,472,2,"no"
37,"management","single","tertiary",876,140,4,"no"
36,"services","single","secondary",342,142,1,"no"
29,"blue-collar","single","primary",950,135,3,"no"
36,"blue-collar","married","primary",973,293,1,"no"
26,"technician","married","tertiary",3825,107,1,"no"
32,"blue-collar","married","secondary",2366,127,2,"no"
40,"management","married","tertiary",542,1816,1,"no"
53,"management","married","primary",995,200,3,"no"
29,"management","married","tertiary",20,418,1,"no"
34,"technician","single","tertiary",228,387,4,"no"
43,"blue-collar","married","secondary",130,156,1,"no"
56,"management","married","tertiary",217,121,2,"no"
55,"entrepreneur","divorced","tertiary",0,108,2,"no"
31,"self-employed","married","tertiary",259,47,1,"no"
27,"admin.","single","secondary",619,16,5,"no"
36,"management","married","secondary",644,54,2,"no"
44,"management","married","tertiary",22,265,2,"no"
37,"admin.","divorced","tertiary",4303,168,1,"no"
30,"admin.","single","secondary",239,115,3,"no"
42,"technician","single","secondary",275,31,8,"no"
30,"management","married","tertiary",1221,279,4,"yes"
62,"retired","married","secondary",816,28,2,"no"
24,"blue-collar","married","secondary",1222,369,1,"no"
31,"technician","married","secondary",2363,247,1,"no"
66,"retired","married","tertiary",2262,155,1,"no"
47,"admin.","married","secondary",2,89,1,"no"
39,"entrepreneur","married","tertiary",2,180,1,"no"
35,"technician","married","secondary",4508,854,1,"yes"
35,"admin.","divorced","secondary",-402,46,1,"no"
27,"technician","married","secondary",1577,266,2,"no"
32,"blue-collar","married","secondary",34,321,2,"no"
44,"management","married","tertiary",795,99,24,"no"
42,"blue-collar","married","secondary",117,147,1,"no"
34,"self-employed","single","tertiary",5462,430,1,"yes"
25,"services","single","secondary",402,264,1,"no"
40,"technician","single","secondary",641,156,6,"no"
43,"management","divorced","tertiary",36,118,1,"no"
55,"unemployed","married","tertiary",383,343,3,"no"
50,"blue-collar","married","secondary",283,226,3,"no"
45,"management","divorced","tertiary",0,5,1,"no"
35,"blue-collar","divorced","secondary",3102,138,1,"no"
32,"blue-collar","married","secondary",889,185,1,"yes"
59,"housemaid","married","secondary",0,722,1,"no"
34,"self-employed","married","secondary",-370,748,1,"no"
39,"management","married","tertiary",-606,142,1,"no"
40,"management","single","secondary",10378,523,3,"no"
36,"blue-collar","single","primary",1313,8,10,"no"
40,"management","married","tertiary",8969,153,1,"no"
55,"self-employed","married","secondary",-196,210,2,"no"
38,"entrepreneur","married","secondary",15,121,1,"no"
61,"admin.","married","secondary",4608,212,1,"yes"
41,"management","married","tertiary",666,253,3,"no"
57,"blue-collar","married","primary",452,139,4,"no"
48,"blue-collar","married","secondary",149,71,1,"no"
77,"retired","married","tertiary",7802,421,1,"yes"
35,"services","married","secondary",1453,199,1,"no"
54,"blue-collar","married","secondary",1480,108,1,"no"
37,"management","single",NA,715,247,2,"no"
56,"management","single","secondary",237,236,4,"no"
40,"technician","married","secondary",694,97,NA,"no"
40,"management","married","tertiary",0,109,8,"no"
54,"management","married","tertiary",55,112,2,"no"
55,"housemaid","married","primary",136,15,10,"no"
55,"services","divorced","secondary",-404,502,3,"no"
52,"blue-collar","married","primary",779,30,3,"no"
55,"blue-collar","single","primary",1187,193,2,"no"
33,"management","married","tertiary",641,347,2,"no"
52,"blue-collar","married",NA,826,468,2,"no"
33,"services","divorced","secondary",991,148,1,"no"
53,"admin.","married","secondary",1796,295,1,"yes"
46,"admin.","married","secondary",22,388,6,"yes"
44,"technician","single","secondary",244,1735,4,"yes"
48,"management","divorced","tertiary",1328,339,1,"no"
50,"housemaid","married","secondary",7317,172,1,"no"
34,"technician","single","secondary",4943,117,2,"no"
38,"technician","single","secondary",258,587,2,"no"
42,"management","single","tertiary",515,501,2,"no"
32,"management","single","tertiary",12607,203,5,"no"
58,"admin.","married","secondary",2,282,9,"no"
31,"management","married","tertiary",13,110,5,"no"
19,"student","single","primary",103,104,2,"yes"
41,"management","married","tertiary",3872,231,1,"no"
31,"unemployed","married","secondary",296,378,3,"no"
52,"self-employed","single","primary",217,193,6,"no"
42,"self-employed","divorced","tertiary",360,110,5,"no"
41,"blue-collar","single","secondary",428,92,1,"no"
30,"blue-collar","single","secondary",315,1407,1,"yes"
38,"blue-collar","married","secondary",121,168,1,"no"
32,"management","married","tertiary",820,738,3,"no"
52,"technician","married","secondary",195,220,1,"yes"
48,"management","divorced","tertiary",108,89,2,"no"
36,"management","married","tertiary",-381,30,29,"no"
45,"unemployed","divorced","primary",757,103,1,"no"
34,"technician","married","tertiary",691,70,1,"no"
36,"blue-collar","married","primary",1925,904,2,"yes"
34,"management","married","tertiary",902,159,1,"no"
61,"retired","married","secondary",5207,336,1,"no"
54,"services","married","secondary",0,220,1,"no"
50,"entrepreneur","married","secondary",665,238,1,"no"
43,"admin.","divorced","secondary",738,585,4,"no"
47,"blue-collar","married","primary",233,293,3,"no"
45,"services","married","secondary",-839,68,1,"no"
57,"retired","married","primary",5799,97,1,"no"
27,"admin.","married","secondary",1033,1713,1,"no"
49,"unemployed","divorced","secondary",66,218,3,"no"
43,"services","married","primary",2567,109,1,"no"
40,"management","married","tertiary",1584,661,1,"no"
32,"services","single","secondary",182,145,1,"no"
58,"management","married","primary",76,54,4,"no"
34,"admin.","single","secondary",663,111,1,"no"
46,"technician","divorced","secondary",3455,566,2,"no"
29,"blue-collar","married","secondary",15,136,1,"no"
52,"blue-collar","married","primary",1054,273,1,"no"
45,"management","married","tertiary",1529,160,1,"no"
26,"management","single","secondary",63,76,4,"no"
40,"technician","married","tertiary",0,44,1,"no"
41,"admin.","married","secondary",920,239,1,"no"
47,"admin.","single","secondary",3696,250,2,"yes"
27,"technician","single",NA,59,792,4,"no"
27,"services","married","secondary",0,198,13,"no"
48,"blue-collar","married","secondary",157,73,1,"no"
49,"admin.","married","secondary",2465,157,3,"no"
35,"blue-collar","married","primary",0,90,6,"no"
47,"self-employed","married","secondary",2,236,2,"no"
54,"management","married","tertiary",0,118,5,"no"
39,"management","single","tertiary",12437,40,1,"no"
28,"student","single","secondary",378,346,1,"no"
54,"blue-collar","married","primary",211,200,2,"no"
34,"technician","married","secondary",-228,187,3,"no"
63,"retired","married","secondary",2747,113,1,"no"
42,"self-employed","married","tertiary",1932,192,32,"no"
43,"technician","single","secondary",11269,92,1,"no"
37,"admin.","married","secondary",1314,682,2,"no"
55,"blue-collar","married","primary",2275,139,9,"no"
43,"management","single","tertiary",1304,501,2,"yes"
41,"blue-collar","married","secondary",720,651,1,"yes"
47,"technician","divorced","secondary",2914,405,13,"no"
34,"technician","married","secondary",1464,350,1,"no"
28,"student","single","secondary",11555,125,2,"no"
36,"services","married","secondary",-302,36,2,"no"
50,"technician","married","secondary",2497,35,1,"no"
35,"blue-collar","married","secondary",-339,389,2,"no"
40,"technician","married","secondary",56,194,1,"no"
26,"self-employed","single","tertiary",211,168,3,"no"
36,"management","divorced","tertiary",3611,347,3,"no"
59,"unemployed","married","primary",0,3025,2,"no"
28,"student","single","secondary",459,83,13,"no"
46,"entrepreneur","married",NA,242,332,2,"no"
50,"self-employed","married","secondary",1138,219,10,"no"
53,"management","married","tertiary",1319,427,1,"no"
81,"retired","married","secondary",1,65,5,"no"
35,"services","divorced","secondary",67,192,2,"no"
58,"retired","married",NA,937,155,1,"no"
44,"services","married","secondary",0,161,1,"no"
38,"management","married","tertiary",-558,533,1,"no"
49,"blue-collar","married","secondary",171,19,3,"no"
33,"technician","single","tertiary",696,193,1,"no"
29,"management","married","tertiary",361,819,3,"no"
28,"technician","single","secondary",227,278,1,"yes"
31,"admin.","married","secondary",236,211,3,"no"
33,"management","single","tertiary",-53,617,2,"no"
52,"technician","married","secondary",192,61,2,"no"
43,"management","divorced","tertiary",38,197,6,"no"
32,"self-employed","single","secondary",518,34,7,"no"
36,"self-employed","married","tertiary",16,95,4,"no"
41,"blue-collar","married","secondary",-256,147,2,"no"
