"color","quality","alcohol","residual_sugar","density","pH"
"red",5,10.1,1.8,0.995,3.35
"red",5,10.5,5.5,0.9973,3.42
"red",5,10.5,5.5,0.9973,3.42
"red",5,10.5,5.5,0.9973,3.42
"red",5,10.5,5.5,0.9973,3.42
"red",5,9.3,2.2,0.9969,3.48
"red",6,9.3,1.9,0.9968,3.59
"red",5,9.6,2,0.9959,3.2
"red",4,9.2,1.3,0.9965,3.17
"red",6,10,1.7,0.9964,3.33
"red",5,9.4,7.3,0.9982,3.37
"red",5,9.4,7.2,0.9981,3.37
"red",5,9.5,1.7,0.9961,3.19
"red",5,10.2,2.1,0.9956,3.34
"red",4,9,1.6,0.9956,3.37
"red",6,10.4,2.1,0.9953,3.47
"red",5,9.5,1.8,0.9964,3
"red",4,9.1,1.8,0.9972,3.36
"red",6,9.2,2,0.9972,3.29
"red",6,9.2,2,0.9972,3.29
"red",6,11.5,1.9,0.9961,3.42
"red",5,9.5,2,0.9961,3.33
"red",5,9.5,1.5,0.9958,3.35
"red",5,9.5,2,0.9961,3.33
"red",6,10.5,2.3,0.9972,3.58
"red",5,9.6,2.5,0.9969,3.48
"red",5,9.5,2.4,0.9969,3.19
"red",5,9.5,2.4,0.9969,3.19
"red",5,9.3,2,0.9972,3.12
"red",5,9.3,2.5,0.9972,3.44
"red",5,9.3,1.8,0.9971,3.54
"red",6,9.3,1.9,0.997,3.52
"red",5,9.7,2,0.9971,3.26
"red",5,9.2,2,0.9972,3.34
"red",5,9.7,2.6,0.9976,3.39
"red",5,9.5,2,0.9968,3.2
"red",5,9.5,1.9,0.9968,3.2
"red",5,9.4,2.9,0.9976,3.23
"red",6,9.8,1.9,0.9974,3.57
"red",5,9.5,3.8,0.9969,3.28
"red",5,9.7,2.2,0.9964,3.28
"red",5,9.7,2.2,0.9964,3.28
"red",5,9.4,2,0.9968,3.25
"red",5,10.2,2.4,0.9968,3.46
"red",6,10.1,2,0.9981,3.11
"red",7,13,1.2,0.9924,3.57
"red",4,11.4,2.1,0.9948,3.51
"red",7,10.3,1.4,0.99695,3.22
"red",5,9.3,2.1,0.9975,3.04
"red",5,9.5,1.5,0.99545,3.36
"red",5,9.2,1.6,0.9961,3.34
"red",6,9.2,1.6,0.99615,3.34
"red",7,10.8,2.6,0.9994,3.2
"red",7,10.8,2.6,0.9994,3.2
"red",5,9.3,1.8,0.99625,3.29
"red",5,9.4,2.7,0.9966,3.22
"red",7,10.5,2.1,0.998,3.31
"red",6,12.4,2,0.99585,3.3
"red",6,10,2.8,0.99685,3.35
"red",6,10.2,2.1,0.998,3.21
"red",5,10.1,2.2,0.9959,3.3
"red",6,9.8,2.4,0.9974,3.24
"red",5,10.5,5.6,0.9974,3.34
"red",5,11,2,0.9962,3.14
"red",5,9.1,2.2,0.9967,3.36
"red",5,9.7,1.9,0.9957,3.39
"red",5,9.5,2.4,0.99655,3.3
"red",6,9.4,2,0.9964,3.34
"red",5,9.4,2,0.9957,3.15
"red",5,9.5,1.5,0.99525,3.42
"red",6,10,2,0.99815,3.28
"red",4,10.4,2,0.99745,3.31
"red",6,10.5,2.6,0.99615,3.37
"red",6,9.5,2,0.9964,3.04
"red",5,9.8,2.6,0.9984,3.39
"red",6,10.5,2.6,0.99615,3.37
"red",5,11,2.6,0.99685,3.46
"red",7,12.2,1.6,0.9927,3.54
"red",6,9.9,1.8,0.99625,3.37
"red",6,9.6,2.8,0.998,3.34
"red",5,11,2.6,0.99685,3.46
"red",6,9,2.3,0.99685,3.32
"red",6,9,1.9,0.99675,3.37
"red",6,9,1.9,0.99675,3.37
"red",6,9.2,1.9,0.99675,3.37
"red",6,9,1.9,0.99675,3.37
"red",6,9,2.3,0.99685,3.32
"red",5,9.3,1.7,0.9971,3
"red",6,10.9,2.1,0.99925,3.14
"red",6,9.8,1.8,0.99565,3.08
"red",7,9.2,2.2,1.00005,3.07
"red",7,9.2,2.2,1.00005,3.07
"red",6,9.9,2,0.9983,3.61
"red",5,9.5,1.9,0.99685,3.38
"red",5,9.3,2.3,0.9963,3.2
"red",6,9.8,1.7,0.99615,3.35
"red",6,9.9,2,0.9983,3.61
"red",6,10,1.6,0.9985,3.22
"red",6,9.9,1.8,0.9972,3.47
"red",5,10.5,3.1,0.9986,3.17
"red",5,9.5,1.9,0.9959,3.23
"red",6,9.9,1.8,0.9972,3.47
"red",5,9.3,3.2,0.99675,3.26
"red",5,9.2,2.2,0.998,3.22
"red",5,9.2,2.1,0.9968,3.49
"red",5,9.4,1.8,0.9968,3.06
"red",7,10.5,2.6,0.99965,3.36
"red",5,9.3,1.7,0.99625,3.29
"red",4,9.4,2,0.99565,3.35
"red",5,10,1.7,0.99575,3.34
"red",5,9.3,1.8,0.9963,3.28
"red",5,10.9,2.4,0.9999,3.08
"red",7,10.2,1.8,0.9968,3.2
"red",4,9.8,3.3,1.00025,3.6
"red",8,12.8,3.6,0.9973,3.35
"red",6,9.4,3,0.9987,3.69
"red",6,10.1,NA,0.9996,3.28
"red",6,10.7,4,0.9965,3.36
"red",6,10.1,4,0.9996,3.28
"red",5,10.1,4,0.99935,3.22
"red",5,9.4,2.4,0.99735,3.31
"red",5,9.4,7,0.99915,3.38
"red",6,10.7,4,0.9965,3.36
"red",6,9.4,3,0.9987,3.69
"red",6,10.1,4,0.9996,3.28
"red",8,12.6,6.4,0.9976,3.23
"red",7,10.5,5.6,0.9991,3.38
"red",6,9.3,3.6,0.9986,3.12
"red",7,9.9,3.5,0.9972,3.25
"red",5,9.1,3,0.9971,3.36
"red",7,25,5.6,0.9991,3.38
"red",5,9.8,3.4,1.00015,3.31
"red",5,9.8,3.4,1.00015,3.31
"red",6,10.3,2,0.9997,3.1
"red",6,10.3,3,0.9967,3.37
"red",7,10.6,2.5,0.9976,3.34
"red",5,9.2,3.3,1.001,3.2
"red",7,10.6,2.5,0.9976,3.34
"red",5,10.5,2,0.9979,3.3
"red",6,10.3,2.7,0.9994,3.22
"red",6,10.1,2.4,0.9964,3.41
"red",6,9.5,3.2,1.0014,3.05
"red",5,9.5,2.5,1.0001,3.05
"red",5,9.9,2.6,0.9981,3.16
"red",5,9.6,2,0.99855,3.67
"red",5,9.7,2.3,0.9993,3.67
"red",5,9.6,2.1,0.99845,3.68
"red",6,10.7,2.6,0.9965,3.38
"red",6,10.1,1.5,0.9973,3.22
"red",5,10,2.6,0.9994,3.51
"red",5,9.5,1.6,0.996,3.39
"red",5,9.2,2.1,0.9973,3.2
"red",6,9.3,2.5,0.9998,3.12
"red",5,9.4,2.2,0.9966,3.36
"red",6,9.5,2.4,0.9994,3.19
"red",6,9.5,2.4,0.9994,3.19
"red",6,9.5,1.7,0.9968,3.41
"red",6,9.3,2.5,0.9998,3.12
"red",6,9.4,2,0.996,3.27
"red",6,9.5,2.8,0.99815,3.32
"red",5,9.4,3,0.9976,3.3
"red",5,11,2.6,0.99645,3.39
"red",6,11,2.5,0.9962,3.42
"red",5,10.1,3.4,0.9996,3.3
"red",6,10.4,2.9,0.99865,3.3
"red",7,11.5,3.2,0.9989,3.37
"red",6,10.4,2.9,0.99865,3.3
"red",7,11.5,3.2,0.9989,3.37
"red",5,9.7,3.4,0.99975,3.24
"red",5,9.3,2.3,0.99735,3.29
"red",6,9.5,2.8,0.999,3.28
"red",6,9.2,11,1.0015,3.16
"red",6,9.2,11,1.0015,3.16
"red",7,11.5,3.65,0.9978,3.05
"red",5,11.5,4.5,0.998,3.28
"red",6,9.7,2.6,1.0002,3.16
"red",5,9.5,2,0.9981,3.18
"red",6,12.5,2.9,0.998,3.23
"red",6,12.5,2.9,0.998,3.23
"red",6,9.4,3.2,0.9973,3.22
"red",5,11,2.1,0.9958,3.13
"red",7,11.7,2.5,0.9963,3.34
"red",7,12.2,3.4,0.9992,3.17
"red",6,12.5,1.9,0.9948,3.35
"red",5,10.3,2.8,0.9974,3.31
"red",6,11.5,3,1.0008,3.16
"red",7,9.8,2.3,0.9997,3.11
"red",6,9.2,2.4,1,3.12
"red",6,11.3,2.7,0.9972,3.21
"red",6,9.8,1.8,0.9982,3.3
"red",6,9.8,1.8,0.9982,3.3
"red",6,10.7,2.6,1.0006,3.12
"red",5,9.9,1.9,0.9979,3.6
"red",7,12.3,2.7,0.9955,3.58
"red",6,12,3,0.9986,3.02
"red",6,10,2.8,0.9979,3.11
"red",6,9.4,2.6,0.9994,3.36
"red",6,9.9,2.7,1.0004,3.28
"red",6,9.4,2.6,0.9994,3.35
"red",5,9.3,2.4,0.9974,3.27
"red",5,13,4.8,1.0018,3.18
"red",6,11.9,1.4,0.9912,3.25
"red",6,12.8,2.4,0.9955,3.55
"red",5,11,3,1.0001,3.26
"red",7,11.7,2.95,0.997,3.24
"red",NA,10.4,3.1,1,3.15
"red",6,9.8,2.6,1.001,3.17
"red",5,9.4,2,0.9973,3.19
"red",6,9.9,2.6,0.9982,3.37
"red",5,10,2.5,0.9992,3.05
"red",5,10.2,2,0.9988,2.99
"red",7,10,5.8,1.0022,3.07
"red",6,11.8,3.4,0.9979,3.26
"red",7,10,5.8,1.0022,3.07
"red",5,9,2.6,1,3.16
"red",5,9.4,2.8,0.9998,3.18
"red",7,12,2.4,0.9962,3.2
"red",5,9.9,2.3,0.9975,3.57
"red",6,8.7,1.6,0.9967,3.32
"red",6,10.6,1.8,0.9967,3.32
"red",5,9.2,2.2,0.9959,3.05
"red",6,10.8,3.8,1.0014,3.01
"red",7,11.8,4.4,0.9984,3.01
"red",6,11,3,1.0003,3.26
"red",7,12,2.4,0.9962,3.2
"red",6,13.3,6.2,0.9988,3.11
"red",6,10.8,2.5,0.9979,3.31
"red",6,9.4,2,0.9974,3.21
"red",6,10,2.9,1.0014,3.06
"red",6,9.4,2,0.9974,3.21
"red",6,9.4,2,0.9974,3.21
"red",5,9.2,2.1,0.998,3.42
"red",6,9.7,2.4,0.9979,3.43
"red",6,9.2,2,0.9981,3.41
"red",6,9.6,1.9,0.9972,3.31
"red",6,9.2,1.9,0.9981,3.43
"red",7,10,2.5,0.9982,3.19
"red",8,12.9,1.4,0.9924,3.56
"red",6,10,2.9,1.0014,3.06
"red",5,9.5,2,0.998,3.18
"red",5,9.1,2,0.997,3.16
"red",5,9.9,2.3,0.9997,3.03
"red",7,13,4.2,1.0004,3.22
"red",5,9.9,7.9,0.9994,3.47
"red",6,11,2.6,0.9988,3.18
"red",6,11,2.6,0.9988,3.18
"red",5,9.4,2.3,0.9963,3.1
"red",5,9.9,7.9,0.9994,3.47
"red",6,10.8,1.7,0.9949,3.29
"red",6,10.5,2.6,1,3.1
"red",6,10.5,2.7,0.9994,3.15
"red",5,9.1,2.7,0.9974,3.26
"red",6,10.1,1.4,0.9966,3.36
"red",6,10.8,2.5,0.9981,3.24
"red",7,10.8,3,0.9996,3.18
"red",6,11.3,3.7,0.997,3.19
"red",4,9.6,4.5,0.9981,3.05
"red",6,9.5,2.5,0.9987,3.38
"red",5,9.5,2.4,0.9987,3.38
"red",5,9.3,1.9,0.9966,3.27
"red",7,11.7,6.7,0.9986,3.27
"red",5,9.5,2.7,0.9982,3.26
"red",5,9.3,6.6,1.0014,3.32
"red",6,11.7,2.2,0.997,3.26
"red",5,10.5,1.9,0.9956,3.44
"red",6,10.4,2,0.9996,3.24
"red",5,9.9,1.8,0.9976,3.62
"red",7,11.8,2.4,0.9972,3.28
"red",7,12.3,2.3,0.9952,3.52
"red",5,10.9,2,0.9955,3.36
"red",7,11,2.1,0.9978,3.15
"red",5,10.9,2,0.9955,3.36
"red",7,12.3,2.3,0.9952,3.52
"red",6,11.4,2.1,0.9949,3.49
"red",6,10.6,1.9,0.9988,3.26
"red",5,9.3,1.3,0.9978,3.24
"red",6,10.4,2.4,0.9997,3.1
"red",7,11,2.1,0.9978,3.15
"red",5,9.2,2.2,0.9974,3.25
"red",6,12.8,2.3,0.9958,3
"red",5,9.5,2.3,1.0004,3.16
"red",6,9.9,3.2,0.9996,3.15
"red",5,9.5,2.3,1.0004,3.16
"red",6,10.2,2,0.9958,3.26
"red",6,11.2,3.2,0.9986,3.17
"red",6,9.9,3.2,0.9996,3.15
"red",5,9.3,1.5,0.9951,3.08
"red",8,9.8,2.2,0.9987,2.88
"red",6,11.3,2.15,0.9988,3.06
"red",7,11.2,3.7,1.0032,2.95
"red",7,11.6,2.7,0.9963,3.23
"red",7,12.5,1.7,0.9934,3.57
"red",6,10.1,2.1,0.9986,3.23
"red",5,10.5,2.6,0.9996,3.1
"red",5,11.2,2.1,0.9968,3.22
"red",6,10.2,2,0.9967,3.2
"red",6,10.8,2.8,0.9994,3.1
"red",6,10.8,2.8,0.9994,3.1
"red",6,9.1,1.8,0.9979,3.06
"red",6,10,1.7,0.9968,3.44
"red",7,11.2,2.8,0.9998,3.26
"red",5,11.1,1.6,0.9952,3.5
"red",8,13.4,5.2,0.9988,3.22
"red",5,10.3,2.3,0.9986,3.37
"red",5,9.6,2.7,0.9988,3.28
"red",7,11.2,2.8,0.9998,3.26
"red",3,9,2.2,1.0008,3.25
"red",6,11.3,2.3,0.9976,3.35
"red",5,9.3,2.6,0.9982,3.26
"red",5,11.8,2.55,0.997,3.18
"red",5,9,2.2,0.9972,3.08
"red",6,9.2,2.1,0.9987,2.98
"red",5,9.7,2.9,1.0006,3.48
"red",6,11.5,2,0.9982,3.16
"red",6,14,2.6,0.9947,3.32
"red",6,9.2,2.1,1,3.17
"red",5,9.8,1.2,0.9952,3.2
"red",5,10.6,2.6,0.9996,3.05
"red",6,11.4,2.4,0.997,3.2
"red",6,10.4,2.6,0.9995,3.15
"red",5,10.6,2.1,0.9971,3.26
"red",6,9.4,1.7,0.9982,3.2
"red",5,10.2,2.2,0.9988,3.14
"red",5,9.7,2,0.998,3.28
"red",6,11,1.8,0.9977,3.18
"red",5,10.2,2.2,0.9988,3.14
"red",6,10.1,2.7,0.9984,3.19
"red",5,9.2,15.5,1.0026,3.12
"red",8,11.7,2.8,0.9964,3.15
"red",5,9.4,2.2,0.9986,3.04
"red",5,9.4,2.2,0.9986,3.04
"red",6,13.4,4.1,0.997,3.06
"red",5,10,1.9,0.9976,3.17
"red",5,10,1.9,0.9976,3.17
"red",6,10,1.8,0.9982,3.17
"red",7,10.8,2.8,1.0002,3.32
"red",6,10.2,2.6,0.9984,3.34
"red",6,10.6,2.8,0.9984,3.31
"red",7,13.3,2.5,0.9952,3.34
"red",7,13.4,2.6,0.995,3.32
"red",6,11.6,3,1.0002,3.48
"red",6,12.1,8.3,0.9952,3.44
"red",8,11,2.6,0.9972,3.15
"red",6,9,1.9,0.9984,3.43
"red",5,11.1,2.5,0.9966,3.32
"red",8,11,2.6,0.9972,3.15
"red",6,11.6,3,1.0002,3.48
"red",6,9,1.9,0.9984,3.43
"red",7,12,6.55,0.999,3.17
"red",7,12,6.55,0.999,3.17
"red",7,10.9,1.9,0.9976,3.18
"red",7,10.8,1.8,0.9976,3.21
"red",7,12.5,2.9,0.9968,3.16
"red",7,10.8,1.8,0.9976,3.25
"red",6,9.5,2.3,1,3.17
"red",6,10.2,2.2,0.9994,3.18
"red",7,11.4,2.8,0.9986,3.04
"red",5,9.5,4.6,0.9978,3.02
"red",6,10.2,2.2,0.9994,3.18
"red",6,9.7,2.1,0.998,3.03
"red",7,11.8,2.4,0.9973,3.09
"red",7,11.8,2.4,0.9973,3.09
"red",5,9.3,6.1,1.001,3.31
"red",6,11.9,4.3,1.001,3.25
"red",3,8.4,2.1,0.9994,3.16
"red",6,11.7,2.8,0.9972,3.22
"red",5,11,2.5,0.9966,3.36
"red",6,10,2.7,0.9982,3.42
"red",5,9.1,2,0.998,3.48
"red",5,9.8,2.3,0.9979,3.38
"red",5,9.4,2.5,0.9978,3.22
"red",5,9.5,2.4,0.9976,3.23
"red",5,9.9,2.8,0.9998,3.24
"red",5,11,2.5,0.9966,3.36
"red",6,11.4,2.5,0.9962,3.39
"red",6,8.7,2.6,0.9988,3.34
"red",5,9.4,2.4,0.9974,3.09
"red",6,10.3,2.1,0.999,3.41
"red",5,10.3,2.7,1.0004,3.16
"red",5,10.3,2.7,1.0004,3.16
"red",6,12.8,2.1,0.9956,3.22
"red",6,10,2.7,1,3.28
"red",6,10.3,2.1,0.999,3.41
"red",5,9.4,2.4,0.9974,3.09
"red",6,10.7,2.1,0.9972,3.37
"red",7,12,5.8,1.0014,3.2
"red",5,11.2,5.15,0.9996,3.22
"red",5,9.6,3.3,0.9988,3.26
"red",6,11,6.3,0.9988,3.21
"red",5,9.9,2.1,0.9966,3.12
"red",6,11,2.5,0.9993,3.06
"red",6,8.4,1.8,1.0008,2.86
"red",5,9.1,2.6,0.9982,3.08
"red",6,9.5,2,0.9983,3.45
"red",6,10.7,2.5,0.9987,3.26
"red",6,10.4,2.6,0.9994,3.12
"red",6,9.4,1.9,0.9975,3.27
"red",6,9.5,2.1,0.9958,3.33
"red",6,10,2.8,0.998,3.19
"red",6,10,2.7,0.998,3.12
"red",5,11.5,1.6,0.9934,3.74
"red",5,11.1,4.2,1.00315,2.92
"red",5,11.1,4.2,1.00315,2.92
"red",6,11.7,4.6,1.0002,3.07
"red",5,11.1,4.2,1.00315,2.92
"red",6,11.7,4.6,1.0002,3.07
"red",6,12.7,4.3,1.0021,3.3
"red",5,11.4,2.8,0.9994,3.14
"red",5,9.2,2.4,0.9978,3.23
"red",5,9.2,2.9,0.9982,3.08
"red",6,10.1,2.7,0.9971,3.31
"red",6,12.7,4.3,1.0021,3.3
"red",5,11.4,2.8,0.9994,3.14
"red",6,9,2.5,0.9991,3.32
"red",6,9,2.5,0.9991,3.32
"red",6,10.7,2.6,0.999,3.31
"red",6,11.7,2.2,0.9946,3.57
"red",6,11,3.3,1.0003,3.32
"red",6,11.7,2.2,0.9946,3.57
"red",5,10.4,2.4,0.9978,3.14
"red",4,9.6,2.1,0.9991,3.3
"red",6,10,3.2,0.9992,3.19
"red",6,10.2,3.1,0.9993,3.2
"red",4,10,2.3,0.9978,3.34
"red",5,9.5,2.8,0.9982,3.3
"red",5,9.8,2.9,0.9982,3.29
"red",6,9.8,2.2,0.9976,3.14
"red",5,9.6,2.2,1.0002,3.19
"red",5,9.6,2.2,1.0002,3.19
"red",5,9.2,2.2,1,3.19
"red",7,9.9,1.9,0.9976,2.98
"red",7,10.7,3.4,1.0002,3.3
"red",6,9.6,2.4,0.998,3.47
"red",7,10.6,2.7,0.9986,3.12
"red",5,9.3,1.9,0.9967,3.26
"red",8,14,2,0.9917,3.72
"red",7,10.5,2.6,0.9976,3.05
"red",5,9.7,2.6,0.9987,3.35
"red",6,11.5,1.7,0.9922,3.12
"red",5,9.7,2.6,0.9987,3.35
"red",5,9,3.5,1.0004,3.29
"red",5,9.5,2.6,0.9978,3.4
"red",5,9.3,7.9,0.9998,3.27
"red",6,9.3,2,0.9994,3.04
"red",6,10,1.9,0.998,3.09
"red",6,9.8,2.1,0.9967,3.2
"red",6,9.3,2.3,1,3
"red",4,10,2.1,0.9962,3.26
"red",6,9,2.2,1.0006,3.1
"red",5,9.3,2.6,0.9975,3.3
"red",6,9,2.2,1.0006,3.1
"red",6,9.1,2.9,0.9984,3.17
"red",6,9.2,2.6,0.9984,3.31
"red",7,12.2,4.6,0.9973,3.34
"red",6,10.5,3.3,0.9982,3.31
"red",6,10.4,5.1,1.0026,3.32
"red",6,12.7,3.2,0.9956,3.56
"red",5,9.2,2.5,0.9983,3.39
"red",5,9.4,2.7,1.0006,2.98
"red",6,10,2.4,0.9965,3.32
"red",5,9.8,1.5,0.9962,3.26
"red",6,10.2,2.2,0.9969,2.87
"red",5,9.7,2.3,0.9997,3.5
"red",5,9.7,2.3,0.9997,3.5
"red",6,9.8,2.2,0.9982,3.03
"red",5,10.2,2.7,1.0006,3.13
"red",5,9.3,2.3,0.9988,3.09
"red",5,9.4,3.4,0.9976,3.27
"red",5,9.4,3.4,0.9976,3.28
"red",5,9.5,1.9,0.9974,3.13
"red",6,12.1,2.9,0.9974,3.49
"red",5,10.2,5.6,0.9997,3.46
"red",5,10.2,5.6,0.9997,3.46
"red",5,9.1,2.2,0.9988,3.36
"red",5,9.1,2.2,0.9988,3.36
"red",6,9.3,2.5,0.9976,3.27
"red",5,9.3,2.3,0.9964,3.21
"red",6,9.3,2.5,0.9976,3.27
"red",5,9.5,2.7,0.9988,3.25
"red",6,10.5,3,0.9964,3.32
"red",4,11.3,3.4,1.001,3.43
"red",5,9.5,1.9,0.9964,3.27
"red",5,9.7,1.4,0.9954,3.27
"red",5,9.4,2.4,0.9979,3.24
"red",5,9.4,2.3,0.9978,3.24
"red",7,10.2,2.2,0.9964,3.35
"red",6,10.3,1.9,0.997,3.18
"red",5,9.4,2.3,0.9991,3.39
"red",5,9.5,2.3,0.9992,3.46
"red",5,9.4,2.3,0.9991,3.39
"red",5,9.5,2.3,0.9992,3.46
"red",5,9.4,2.3,0.9991,3.39
"red",7,10.1,6,0.9984,3.37
"red",5,10.1,3.6,0.9972,3.4
"red",4,11,2.2,0.9967,3.32
"red",7,11.2,2.8,0.9964,3.33
"red",6,11.3,8.6,0.9948,3.16
"red",5,9.6,2.2,0.9986,2.89
"red",5,11.2,2.5,1.001,3.41
"red",5,14.9,7.5,0.9976,2.98
