"limit_bal","sex","education","age","bill_amt","pay_amt"
70000,"male","university",29,-8187,0
10000,"male","university",24,2887,0
50000,"male","high_school",25,39686,5000
70000,"male","graduate_school",50,56551,1900
270000,"female","graduate_school",44,-106,3000
140000,"male","graduate_school",32,32678,5400
120000,"female","other",57,116497,5000
90000,"male","graduate_school",33,498,498
210000,"female","university",49,0,0
50000,"female","graduate_school",34,51400,0
150000,"male","graduate_school",30,-819,36276
340000,"female","graduate_school",27,195524,7524
50000,"male","university",29,5140,9377
80000,"female","university",35,15234,3000
260000,"female","high_school",48,97908,2980
130000,"male","graduate_school",58,137671,4300
490000,"female","university",33,58308,10000
70000,"male","high_school",41,70476,2700
140000,"female","high_school",51,58213,3500
100000,"female","high_school",46,94657,3000
50000,"female","university",27,20762,2000
280000,"male","university",33,265120,9104
200000,"female","graduate_school",39,10140,9984
50000,"female","university",22,49619,1836
50000,"female","high_school",46,46677,2500
280000,"male","graduate_school",31,8383,9044
310000,"female","graduate_school",28,8193,43003
20000,"female","graduate_school",23,6081,0
100000,"female","university",27,0,0
470000,"male","university",29,59235,3106
420000,"male","university",35,9288,17095
140000,"male","graduate_school",31,27123,25000
240000,"male","high_school",35,11119,10722
340000,"female","university",39,66623,2500
30000,"male","graduate_school",33,27274,0
310000,"male","graduate_school",41,247202,8213
50000,"male","university",40,50209,0
50000,"male","university",31,49804,2000
50000,"female","university",25,46528,1794
260000,"female","graduate_school",37,58261,3000
50000,"male","high_school",40,37245,1700
590000,"female","graduate_school",31,-154,1000
50000,"male","university",50,16242,1215
280000,"male","university",32,204057,0
30000,"male","high_school",29,28547,1700
80000,"male","high_school",44,10350,1199
500000,"female","graduate_school",41,10386,28854
50000,"male","university",26,27570,2000
120000,"female","university",40,109399,3900
70000,"female","university",27,31455,4000
230000,"female","graduate_school",36,3240,0
180000,"female","university",44,108,131
190000,"male","graduate_school",31,158416,6004
250000,"female","graduate_school",42,25298,0
50000,"male","university",25,61143,3000
110000,"female","university",40,84589,3700
300000,"female","graduate_school",27,131760,4700
150000,"female","graduate_school",49,850,0
80000,"male","graduate_school",30,5504,1004
100000,"male","high_school",49,33333,0
150000,"female","graduate_school",26,15079,5018
50000,"female","graduate_school",42,1618,0
130000,"female","university",24,48764,1034
20000,"female","university",23,15596,0
50000,"male","university",41,49401,1803
80000,"female","high_school",44,817,1131
50000,"male","graduate_school",23,17528,1000
300000,"male","graduate_school",38,0,0
50000,"male","high_school",53,41674,1660
200000,"male","graduate_school",38,5607,0
30000,"female","high_school",26,27594,2595
20000,"male","university",26,1050,0
150000,"female","graduate_school",27,3467,2008
250000,"male","graduate_school",31,377399,10045
20000,"male","university",23,17682,1500
50000,"male","university",25,49007,1922
20000,"female","high_school",54,16120,1308
420000,"male","high_school",32,41104,6887
70000,"male","university",42,70293,3300
130000,"female","university",28,98606,4500
200000,"female","graduate_school",47,4503,0
180000,"male","graduate_school",51,134327,6015
20000,"female","high_school",23,17589,1313
310000,"male","university",27,22936,240101
50000,"female","graduate_school",23,50025,1626
100000,"female","university",36,14891,0
20000,"male","university",24,6215,1300
20000,"female","university",34,6827,1200
30000,"female","university",27,20581,1700
110000,"female","university",27,0,0
360000,"female","university",32,11646,5000
30000,"female","high_school",46,22352,1700
150000,"female","high_school",43,125403,5018
240000,"female","graduate_school",55,80199,3900
10000,"male","high_school",22,9363,1200
120000,"female","university",33,68493,3500
200000,"female","university",44,120515,3030
20000,"female","university",40,19816,1601
130000,"male","graduate_school",38,131197,7000
200000,"female","graduate_school",42,23242,1711
50000,"male","high_school",49,36728,36
90000,"female","graduate_school",27,7624,0
20000,"male","graduate_school",30,6885,2000
300000,"female","university",40,184164,7028
20000,"female","university",42,21001,0
360000,"male","graduate_school",37,5225,6
110000,"female","high_school",39,107441,4023
50000,"female","university",43,23587,1800
140000,"female","graduate_school",36,4036,0
50000,"female","university",39,48651,2200
20000,"male","high_school",45,18011,1500
350000,"female","graduate_school",32,87611,3300
230000,"female","university",32,328,1621
420000,"female","university",25,17685,30553
140000,"female","graduate_school",29,14943,2888
500000,"male","graduate_school",44,150758,63256
50000,"male","university",48,42850,1000
50000,"male","graduate_school",23,18666,2000
60000,"female","university",23,22241,2000
170000,"female","university",35,121231,5000
20000,"female","university",22,16072,1700
210000,"female","graduate_school",34,-300,0
160000,"female","graduate_school",27,288,451
210000,"female","university",41,0,8333
100000,"female","university",38,36414,2000
160000,"female","university",27,75652,1020
430000,"female","graduate_school",29,42130,1000
270000,"male","graduate_school",36,109611,6285
500000,"female","graduate_school",49,1088,4031
230000,"female","graduate_school",28,207128,6300
120000,"male","graduate_school",27,880,880
50000,"male","university",29,400,0
200000,"female","university",35,3773,4000
750000,"female","high_school",40,16372,15420
160000,"female","university",52,465,10451
20000,"male","university",46,17483,1363
100000,"female","university",28,1215,1042
400000,"female","graduate_school",31,203,770
100000,"female","university",28,50697,1959
230000,"female","university",44,5630,390
200000,"female","university",33,64932,2365
210000,"female","university",34,4141,1283
80000,"female","university",26,78768,3500
300000,"female","graduate_school",34,19357,5032
210000,"female","university",43,3577,1003
170000,"female","university",47,62927,1566
50000,"male","other",33,47423,1600
100000,"female","university",41,96509,4500
500000,"female","graduate_school",37,315816,10000
180000,"male","university",37,8788,40970
50000,"female","university",23,50643,2741
240000,"male","graduate_school",34,30851,10000
200000,"female","university",41,-780,0
80000,"male","university",42,97841,0
80000,"female","university",27,725,2968
230000,"male","university",39,35289,1646
120000,"female","university",35,0,0
200000,"male","university",31,29070,3019
100000,"male","high_school",44,39649,5000
20000,"female","high_school",43,0,0
280000,"male","university",38,3596,963
350000,"male","high_school",37,70257,20001
480000,"female","university",38,4658,6000
200000,"female","high_school",29,203621,7464
270000,"female","graduate_school",45,0,0
160000,"male","graduate_school",31,24465,7751
50000,"male","university",29,30117,1370
100000,"male","graduate_school",27,55734,1631
360000,"female","high_school",36,2473,0
120000,"female","university",31,21134,0
230000,"male","high_school",29,-4,1500
60000,"female","university",34,30834,3000
150000,"female","university",32,49760,2538
570000,"female","graduate_school",32,47758,3000
390000,"female","graduate_school",25,21382,4000
20000,"female","university",27,17311,0
200000,"male","graduate_school",38,3810,3063
100000,"female","university",49,0,0
200000,"male","graduate_school",27,0,0
220000,"male","graduate_school",39,96473,10000
500000,"female","university",50,290301,11000
30000,"male","university",36,18811,0
20000,"male","university",24,390,780
20000,"male","university",28,10926,2500
70000,"male","graduate_school",31,45450,0
200000,"male","high_school",33,5868,8697
70000,"male","university",36,20857,2000
180000,"male","graduate_school",38,153099,7005
400000,"female","university",36,69376,2255
550000,"female","graduate_school",44,27093,30820
360000,"female","high_school",45,0,700
200000,"female","university",36,8812,15234
110000,"female","graduate_school",55,632,0
320000,"male","university",26,303703,12167
220000,"female","graduate_school",36,4952,1734
50000,"female","graduate_school",25,30587,1800
220000,"female","university",31,75451,4000
310000,"male","university",36,32782,11406
30000,"female","high_school",44,21007,7200
310000,"female","graduate_school",28,3473,201153
30000,"female","university",29,15455,2000
310000,"female","university",46,12479,423
20000,"male","university",34,12857,1541
30000,"female","high_school",25,26769,1500
150000,"female","graduate_school",30,7674,432
410000,"female","university",27,-58,33049
250000,"female","university",36,126751,4559
150000,"female","graduate_school",37,4787,1054
180000,"female","high_school",49,92140,3892
20000,"male","high_school",25,1650,0
220000,"female","university",47,103078,10000
210000,"female","high_school",40,2616,7537
300000,"male","graduate_school",37,298,752
220000,"female","graduate_school",30,6391,2402
280000,"male","university",26,2103,2781
500000,"female","graduate_school",44,71921,368199
500000,"female","graduate_school",34,30376,15000
110000,"male","university",46,44953,3087
230000,"female","graduate_school",25,264,264
260000,"female","graduate_school",30,235961,7988
180000,"female","graduate_school",44,2788,5646
80000,"male","university",28,49302,1412
110000,"male","university",30,35283,1500
120000,"female","university",40,32130,3613
120000,"male","graduate_school",43,165,0
50000,"female","graduate_school",34,0,0
100000,"male","high_school",41,0,840
500000,"female","graduate_school",39,10840,1108
120000,"male","graduate_school",33,291,291
450000,"male","university",32,-3768,179
200000,"female","university",47,0,0
290000,"male","graduate_school",28,18359,1500
200000,"male","graduate_school",38,-57,0
120000,"male","university",26,109110,0
180000,"female","university",31,112900,0
50000,"male","graduate_school",39,49869,2146
20000,"male","high_school",25,15706,1700
50000,"female","high_school",40,49941,2400
10000,"male","university",23,10041,2000
80000,"female","graduate_school",25,0,0
220000,"female","graduate_school",28,55477,3000
50000,"female","high_school",28,2350,50
260000,"female","university",26,264249,9800
130000,"female","university",26,187600,6074
20000,"male","university",24,5212,1500
90000,"male","graduate_school",36,87678,3573
140000,"female","graduate_school",34,103288,4500
140000,"male","university",36,59693,3000
210000,"male","university",45,56024,1836
120000,"male","high_school",37,2284,2007
180000,"female","high_school",47,3735,3404
210000,"female","university",33,98,1120
30000,"male","university",26,29160,2015
470000,"female","university",27,152478,3001
420000,"female","graduate_school",46,19629,8765
130000,"male","graduate_school",39,390,390
20000,"male","university",24,19401,3232
170000,"female","graduate_school",27,106,18719
360000,"female","graduate_school",47,2500,0
30000,"female","university",34,26330,0
120000,"male","graduate_school",31,25719,5000
30000,"male","university",34,18402,2000
100000,"female","high_school",58,43386,2000
70000,"male","university",26,67864,3517
50000,"male","university",29,43205,4000
350000,"female","high_school",50,41069,315
20000,"female","university",23,17772,1877
280000,"female","graduate_school",44,146390,5111
260000,"male","graduate_school",51,62635,6000
220000,"male","graduate_school",48,113061,5600
20000,"male","graduate_school",23,5996,1300
100000,"female","university",23,101771,3800
140000,"female","graduate_school",29,51822,2000
50000,"male","university",32,50240,6000
230000,"female","university",41,38975,5000
80000,"female","high_school",48,44508,1785
140000,"male","university",34,135949,8408
310000,"female","graduate_school",26,11683,3000
320000,"female","university",33,7444,5783
50000,"male","university",41,43474,40003
210000,"female","other",29,43933,2000
290000,"male","graduate_school",46,194301,10744
110000,"male","high_school",40,84965,3280
20000,"male","graduate_school",23,3206,1100
260000,"female","high_school",44,148803,5100
180000,"female","university",25,3231,15000
50000,"female","graduate_school",37,8014,1200
260000,"female","university",33,3342,9023
20000,"female","graduate_school",23,11967,1031
50000,"female","high_school",25,31097,0
50000,"female","university",31,44105,2000
80000,"male","high_school",34,45876,1752
50000,"male","university",44,16726,2000
60000,"male","graduate_school",25,13123,1500
360000,"male","university",36,4671,929
500000,"male","graduate_school",29,367965,55000
200000,"female","high_school",51,-186,1032
100000,"female","graduate_school",29,63542,5000
140000,"male","university",26,105930,3029
210000,"female","high_school",30,1661,5793
260000,"female","graduate_school",29,1476,1476
300000,"female","high_school",34,-75,29089
130000,"female","graduate_school",29,106271,15107
80000,"female","high_school",25,80012,3010
220000,"female","graduate_school",29,-12,0
50000,"male","high_school",34,9110,1500
200000,"female","university",33,11253,2000
240000,"female","high_school",31,298,0
50000,"female","university",31,422,1532
70000,"female","high_school",26,7139,1500
20000,"male","high_school",44,11623,1300
260000,"female","high_school",27,106164,3834
100000,"female","high_school",24,440,500
120000,"male","high_school",43,41439,2000
190000,"female","graduate_school",28,159438,8150
100000,"male","university",28,9125,2000
30000,"male","university",42,24317,4491
280000,"male","university",32,35038,2000
350000,"male","graduate_school",52,713,2272
120000,"male","graduate_school",28,120942,4585
20000,"female","graduate_school",22,18553,1500
140000,"male","university",30,326,326
170000,"male","graduate_school",36,8433,644
130000,"female","university",44,99801,5100
80000,"female","high_school",37,7070,3087
30000,"female","university",45,30488,1600
80000,"female","high_school",62,36088,2100
100000,"female","graduate_school",29,3788,0
30000,"male","university",29,390,390
90000,"female","other",49,1722,0
20000,"female","high_school",53,4400,0
50000,"male","high_school",53,49696,2000
30000,"female","high_school",36,25437,2000
380000,"male","university",31,6749,7959
80000,"female","university",36,81606,0
10000,"male","high_school",35,7536,1136
20000,"male","high_school",40,0,0
20000,"female","university",39,19565,0
60000,"male","high_school",46,56869,2110
170000,"female","university",43,20699,11614
200000,"male","graduate_school",47,696,696
170000,"male","university",34,91450,3400
280000,"female","high_school",48,166473,7750
30000,"female","graduate_school",25,27396,1753
240000,"male","university",44,8421,14230
80000,"male","university",32,78239,4500
50000,"female","university",49,3126,25368
200000,"female","university",33,103876,2034
70000,"female","graduate_school",25,68839,3213
150000,"female","high_school",52,170,1125
90000,"female","university",42,390,0
80000,"male","high_school",41,81070,2385
290000,"female","university",37,140599,13010
90000,"female","high_school",49,104494,3592
60000,"female","university",28,5669,2000
80000,"male","high_school",41,90894,4000
110000,"female","university",28,10048,2000
280000,"female","graduate_school",31,103,168
50000,"male","university",51,46926,3000
80000,"male","university",29,37822,3700
20000,"male","university",24,14619,2850
150000,"female","university",23,956,66470
50000,"female","graduate_school",55,25043,1775
370000,"female","high_school",34,104114,210000
300000,"female","university",30,8805,2186
180000,"male","university",29,-2,0
50000,"male","graduate_school",30,37570,0
250000,"female","university",30,197436,7500
260000,"female","university",46,0,135
50000,"female","university",23,865,1202
210000,"female","university",34,86792,3319
70000,"male","graduate_school",27,51923,5265
300000,"female","graduate_school",31,7834,1093
120000,"female","graduate_school",33,53087,2572
50000,"male","university",41,51449,1700
110000,"male","university",34,102638,4600
50000,"female","high_school",39,38506,2008
200000,"female","university",41,6981,1000
80000,"female","high_school",48,66321,0
80000,"female","high_school",39,5280,5000
360000,"female","graduate_school",27,130640,4500
360000,"female","university",43,0,0
30000,"female","university",22,24426,1712
340000,"female","graduate_school",30,24400,27800
70000,"male","high_school",26,39073,2000
200000,"male","graduate_school",42,470,740
50000,"male","high_school",27,49684,1961
110000,"female","university",39,109221,4230
120000,"female","graduate_school",33,332,332
220000,"female","graduate_school",41,-65,0
160000,"female","university",28,1426,326
200000,"male","graduate_school",32,270160,11000
90000,"female","high_school",53,88363,3200
80000,"female","university",24,0,0
230000,"female","university",40,0,0
230000,"female","graduate_school",31,-7,6792
110000,"male","high_school",37,61807,2300
220000,"female","graduate_school",29,13488,16130
100000,"female","university",26,22320,1227
100000,"male","other",37,7642,0
390000,"female","university",28,116720,7000
60000,"female","graduate_school",32,31142,1842
500000,"female","graduate_school",38,600,0
50000,"male","graduate_school",49,25801,0
30000,"female","graduate_school",22,8679,1190
100000,"female","high_school",55,1520,0
140000,"male","university",40,139282,4945
30000,"female","university",38,6061,1007
360000,"female","graduate_school",28,26349,4045
290000,"female","graduate_school",35,190453,8100
80000,"female","high_school",34,3500,9295
50000,"female","university",23,25622,10122
240000,"female","graduate_school",28,0,1748
50000,"male","high_school",23,11744,1507
80000,"female","university",27,78672,7018
200000,"female","university",34,4798,1125
50000,"female","university",52,15377,2000
420000,"male","graduate_school",52,11097,16106
200000,"female","graduate_school",29,3215,676
170000,"female","graduate_school",50,1978,2191
80000,"female","other",25,75296,4000
50000,"female","graduate_school",31,30291,2000
200000,"male","university",37,4757,1500
140000,"female","university",26,37283,7023
100000,"male","university",27,10458,2500
20000,"female","graduate_school",23,6988,1444
210000,"male","graduate_school",31,161159,8000
20000,"female","university",28,20583,0
500000,"female","university",34,60278,1745
240000,"male","graduate_school",27,2961,2000
240000,"male","university",38,6848,836
100000,"male","graduate_school",31,91176,6000
130000,"female","other",39,264,264
300000,"female","graduate_school",29,45117,1281
260000,"female","graduate_school",31,263688,8993
250000,"female","graduate_school",38,14766,990
50000,"male","graduate_school",23,27101,88
440000,"female","university",29,485921,20000
160000,"female","university",24,157389,6800
20000,"female","university",36,9845,3000
70000,"female","graduate_school",24,28059,2000
190000,"female","university",37,115049,6000
280000,"female","graduate_school",47,257561,20000
60000,"female","university",39,58574,0
230000,"male","university",28,651,651
160000,"male","university",37,99793,4300
330000,"female","university",39,156853,5757
230000,"female","university",38,10906,1364
400000,"female","high_school",44,120456,3557
50000,"female","university",23,13717,2008
230000,"female","graduate_school",42,6087,16050
130000,"female","university",25,61223,4003
80000,"female","university",27,25424,2000
400000,"female","graduate_school",32,29864,0
50000,"female","university",23,0,0
50000,"female","university",24,40901,1600
260000,"male","graduate_school",38,3953,3953
180000,"female","graduate_school",33,31689,10000
230000,"male","graduate_school",42,222059,7300
340000,"female","high_school",40,183139,9000
60000,"male","university",45,60035,2380
200000,"female","high_school",53,126027,6500
80000,"female","university",35,63706,5660
200000,"female","graduate_school",34,0,0
30000,"male","university",30,28130,1750
50000,"male","university",23,1678,1200
350000,"male","graduate_school",33,53562,2045
420000,"male","university",34,226007,10000
20000,"female","university",25,19223,1293
50000,"female","university",26,5195,15387
260000,"female","university",45,113872,6302
170000,"female","graduate_school",26,22680,2000
160000,"female","graduate_school",32,0,0
650000,"male","graduate_school",44,2119,5115
50000,"male","university",43,15641,0
70000,"male","graduate_school",28,19728,8000
150000,"female","university",26,81638,2481
120000,"male","university",35,0,0
50000,"male","university",43,29308,2000
500000,"male","graduate_school",32,48169,20000
220000,"male","graduate_school",33,3233,2108
20000,"male","high_school",24,16973,1600
220000,"female","high_school",43,223022,7750
200000,"female","other",27,777,15103
30000,"male","university",22,4921,1500
320000,"female","university",36,396,396
10000,"male","university",29,8393,1000
210000,"female","university",30,134664,6006
130000,"female","graduate_school",26,0,0
10000,"male","university",28,5236,2200
200000,"male","university",51,1690,0
50000,"male","university",30,50507,4000
20000,"male","graduate_school",22,18523,3500
500000,"female","university",36,339,0
160000,"male","high_school",38,47269,2767
180000,"female","university",28,3840,18588
350000,"male","graduate_school",70,100895,3371
50000,"male","university",30,21839,1600
270000,"female","university",65,0,2521
360000,"female","graduate_school",26,724,125
140000,"female","high_school",56,11106,3000
530000,"male","graduate_school",30,214022,20000
210000,"male","university",28,198724,4500
50000,"female","university",29,5804,1300
210000,"male","graduate_school",39,28435,7637
160000,"female","high_school",38,151963,5100
230000,"female","university",30,0,63508
90000,"female","university",47,28477,2000
50000,"female","high_school",51,50448,2017
150000,"female","graduate_school",32,0,258
90000,"male","university",30,45271,0
50000,"male","high_school",44,41755,0
20000,"male","university",22,19666,20700
100000,"male","university",34,54126,5300
360000,"female","graduate_school",30,0,0
200000,"female","graduate_school",48,657,0
70000,"female","graduate_school",36,18514,2000
100000,"female","university",28,316,316
100000,"female","university",47,24735,3555
360000,"male","high_school",37,1090,303
80000,"male","university",36,25028,3033
230000,"female","graduate_school",30,63064,2800
300000,"male","high_school",41,1556,118816
110000,"female","university",29,50268,1400
170000,"male","graduate_school",60,170359,11700
100000,"female","university",27,37767,1788
50000,"male","university",36,47599,2000
110000,"female","university",35,85958,2968
360000,"male","high_school",42,25988,1815
120000,"male","graduate_school",26,2382,884
50000,"male","high_school",42,43998,10000
10000,"female","university",37,6993,6495
30000,"female","high_school",37,25689,1500
80000,"female","high_school",22,37990,2400
80000,"male","university",26,76158,8000
500000,"male","graduate_school",46,53049,16018
360000,"male","graduate_school",29,5143,6159
200000,"male","graduate_school",38,0,0
250000,"female","graduate_school",36,2200,0
100000,"male","university",30,55776,3000
150000,"female","high_school",48,9730,0
120000,"female","graduate_school",29,632,0
50000,"female","university",31,10682,1194
20000,"female","high_school",22,14218,1700
240000,"female","graduate_school",29,41923,1779
260000,"female","graduate_school",36,203755,15000
200000,"female","university",41,23570,742
210000,"female","graduate_school",25,100,0
170000,"female","university",38,146518,7031
100000,"female","graduate_school",38,68916,3000
80000,"female","university",35,0,0
480000,"male","university",51,2900,17646
110000,"female","university",36,2002,1056
110000,"female","university",46,1495,86367
200000,"female","university",26,15150,1411
130000,"female","high_school",42,105406,4349
350000,"male","graduate_school",37,316,316
290000,"female","graduate_school",37,54966,4020
400000,"female","graduate_school",35,10043,18057
200000,"female","graduate_school",26,6242,1776
500000,"female","university",29,2140,3919
20000,"male","high_school",37,1439,1251
60000,"male","high_school",29,4511,1096
150000,"male","university",48,118610,4955
140000,"male","university",29,140933,5503
320000,"female","high_school",52,650,2080
120000,"female","university",27,83567,4326
160000,"male","graduate_school",55,152162,6500
150000,"female","graduate_school",25,2784,0
170000,"female","graduate_school",29,37350,2000
90000,"female","graduate_school",26,32154,1888
360000,"female","graduate_school",40,10210,0
150000,"female","graduate_school",28,82559,3500
240000,"male","university",51,98588,3592
170000,"female","university",37,168719,7000
240000,"female","graduate_school",31,179483,8151
80000,"female","graduate_school",29,16936,1303
70000,"female","high_school",23,16103,2800
280000,"female","university",24,1481,11943
200000,"female","graduate_school",32,0,0
50000,"female","high_school",31,38102,2830
50000,"male","graduate_school",57,42624,2173
90000,"female","graduate_school",25,86014,8300
20000,"male","graduate_school",25,17147,3000
30000,"female","graduate_school",23,20958,1092
20000,"female","university",22,20386,1510
200000,"female","university",35,64195,3000
140000,"male","university",26,119424,0
470000,"female","university",32,491428,300000
110000,"female","graduate_school",52,1865,0
220000,"male","graduate_school",55,1782,0
280000,"female","university",35,259637,10028
200000,"female","high_school",33,0,0
20000,"female","high_school",40,9755,894
50000,"female","graduate_school",26,5800,2500
60000,"male","graduate_school",30,15380,4147
230000,"female","university",24,24973,5000
50000,"female","graduate_school",23,22939,1413
360000,"male","university",36,33051,1000
130000,"male","graduate_school",43,130874,5500
260000,"male","graduate_school",34,324,828
100000,"female","graduate_school",24,84895,3513
500000,"female","graduate_school",38,54787,20015
10000,"male","university",35,7026,1200
180000,"female","graduate_school",30,174869,8328
420000,"female","university",41,373978,33808
130000,"female","graduate_school",34,66803,3000
50000,"male","graduate_school",27,40688,4100
470000,"male","graduate_school",34,57566,5344
120000,"male","university",30,77413,5000
110000,"male","university",55,51716,65668
190000,"female","university",24,183821,9000
10000,"female","university",22,7828,1009
30000,"male","university",31,26788,2001
30000,"male","university",25,12925,1000
60000,"male","other",32,57505,1800
240000,"male","university",34,225709,8544
90000,"female","university",27,18525,10105
50000,"female","university",32,32814,0
220000,"female","graduate_school",30,91178,10128
20000,"female","university",27,42784,3000
20000,"male","university",34,16456,1500
20000,"male","high_school",32,15598,0
130000,"female","university",26,99290,0
360000,"female","graduate_school",37,0,0
200000,"female","graduate_school",40,0,114558
130000,"female","university",24,12163,10095
260000,"female","university",26,28,288
380000,"female","university",30,384846,13291
440000,"male","graduate_school",33,2976,16911
210000,"female","university",27,174134,16
120000,"female","graduate_school",33,2446,326
20000,"male","university",25,15789,6500
50000,"female","graduate_school",30,2989,1228
160000,"female","graduate_school",31,1494,2
200000,"female","graduate_school",30,195128,13600
50000,"female","university",31,0,0
210000,"female","university",31,1154,1368
50000,"male","university",25,50516,9
360000,"male","high_school",33,32290,2000
150000,"male","graduate_school",37,36148,1600
80000,"male","graduate_school",35,37642,4000
80000,"male","graduate_school",28,49740,2000
400000,"female","graduate_school",32,110,587
500000,"female","high_school",49,207406,15000
400000,"female","university",42,3608,4052
320000,"male","university",34,117983,10009
70000,"female","high_school",27,57879,2600
340000,"female","graduate_school",38,15065,41951
140000,"female","university",36,45849,2100
120000,"male","graduate_school",43,3131,5126
30000,"male","high_school",25,22821,1397
110000,"male","graduate_school",55,92610,4500
50000,"female","graduate_school",23,0,0
320000,"female","graduate_school",35,227927,10000
500000,"male","graduate_school",53,13331,13941
190000,"female","graduate_school",45,75758,0
80000,"male","high_school",38,19277,1400
20000,"female","university",37,17843,1280
50000,"male","university",30,13745,125
40000,"female","university",43,9268,0
160000,"female","university",40,390,390
210000,"female","university",25,648,39637
100000,"female","other",54,95980,4057
70000,"female","graduate_school",27,157,157
60000,"female","graduate_school",39,56045,5000
360000,"female","university",28,12393,3445
220000,"female","graduate_school",33,204205,20000
20000,"male","university",26,18626,2000
300000,"female","graduate_school",26,48729,7500
360000,"male","university",29,67273,10000
120000,"male","high_school",38,77468,3000
50000,"male","university",27,23901,4146
70000,"female","university",33,51900,0
200000,"male","high_school",36,25469,2000
20000,"female","graduate_school",25,4541,0
20000,"male","university",47,19401,1331
100000,"male","university",46,100000,4500
10000,"male","university",23,5857,1117
